sample	subtype	plasmidtype	type
AS1I7	TypeIII	Ti	TypeIII
JL5184	None	Ti	None
AS1D2	None	Ti	None
AS1H6	None	Ti	None
JL5178	None	Ti	None
AS1I6	None	Ti	None
AS1D5	None	Ti	None
AS1C8	None	Ti	None
AS1E8	None	Ti	None
AS1F8	None	Ti	None
AS1A5	None	Ti	None
AS1J5	None	Ti	None
K599	RiTypeI	Ri	RiTypeI
NCPPB_2655	RiTypeI	Ri	RiTypeI
NCPPB_2657	RiTypeI	Ri	RiTypeI
A4	RiTypeIII	Ri	RiTypeIII
ATCC_15834	RiTypeIII	Ri	RiTypeIII
JL5182	RiTypeIII	Ri	RiTypeIII
AS1J9_ri	RiTypeII	Ri	RiTypeII
JL5268	RiTypeII	Ri	RiTypeII
NCIB_8196	RiTypeII	Ri	RiTypeII
JL5253	TypeII	Ti	TypeII
JL5177	TypeIVc	Ti	TypeIV
JL5243	None	Ti	None
AS2H3	TypeIVc	Ti	TypeIV
JL5200	TypeIII	Ti	TypeIII
AS1J4	None	Ti	None
JL5189	None	Ti	None
AS1H3	None	Ti	None
AS1G10	JL5180	Ti	JL5180
JL5180	JL5180	Ti	JL5180
Ach5_walt	TypeII	Ti	TypeII
AS1F9	TypeII	Ti	TypeII
AS1E9	TypeII	Ti	TypeII
AS1D9	TypeII	Ti	TypeII
EML459	TypeII	Ti	TypeII
JL5249	TypeIII	Ti	TypeIII
JL5276	TypeII	Ti	TypeII
AS1F5	TypeIII	Ti	TypeIII
JL5275	TypeIII	Ti	TypeIII
JL5166	TypeVI	Ti	TypeVI
AS1H7	TypeIII	Ti	TypeIII
JL5280	TypeIII	Ti	TypeIII
JL5281	TypeIII	Ti	TypeIII
JL5274	TypeIII	Ti	TypeIII
AS1I5	TypeIII	Ti	TypeIII
JL5254	TypeIII	Ti	TypeIII
EML496	TypeII	Ti	TypeII
AS1G3	None	Ti	None
AS1G6	TypeII	Ti	TypeII
AS1I3	TypeII	Ti	TypeII
B6806	TypeII	Ti	TypeII
EML490	None	Ti	None
JL5278	None	Ti	None
JL5193	None	Ti	None
EML304	TypeII	Ti	TypeII
AS1H5	TypeIII	Ti	TypeIII
JL5286	TypeIII	Ti	TypeIII
JL5283	None	Ti	None
AS1J3	None	Ti	None
JL5201	TypeII	Ti	TypeII
EML491	None	Ti	None
AS1E5	TypeIII	Ti	TypeIII
AS2H7	TypeIII	Ti	TypeIII
AS1C5	TypeV	Ti	TypeV
pTiS4	TypeV	Ti	TypeV
S4	TypeV	Ti	TypeV
AS1I4	TypeV	Ti	TypeV
AS1D4	TypeIVa	Ti	TypeIV
AS1H4	TypeV	Ti	TypeV
AS1G4	TypeIVa	Ti	TypeIV
AS1C4	TypeIVa	Ti	TypeIV
AS1F4	TypeIVa	Ti	TypeIV
EML470	TypeIVb	Ti	TypeIV
EML471	TypeV	Ti	TypeV
EML474	TypeV	Ti	TypeV
EML478	None	Ti	None
AS1B7	TypeV	Ti	TypeV
pRi1724	RiTypeI	Ri	RiTypeI
pTiACH5	TypeII	Ti	TypeII
pTiBo542	TypeIII	Ti	TypeIII
pTiOctopine	TypeII	Ti	TypeII
pTiS4	TypeV	Ti	TypeV
AtuB6	TypeII	Ti	TypeII
NCPPB3554	TypeIVb	Ti	TypeIV
JL5238	TypeII	Ti	TypeII
AS2C3	TypeII	Ti	TypeII
GC1A3	TypeIII	Ti	TypeIII
AS2G3	RiTypeII	Ri	RiTypeII
AS2I3	RiTypeII	Ri	RiTypeII
AS2C7	TypeIII	Ti	TypeIII
AS2B7	TypeIII	Ti	TypeIII
AS2I7	TypeIII	Ti	TypeIII
AS2A4	TypeII	Ti	TypeII
AS2E5	RiTypeIII	Ri	RiTypeIII
JL5217	TypeIa	Ti	TypeI
JL5222	TypeIa	Ti	TypeI
