Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome fragment,Order within fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,AS3D7.gbk,Afa_C58.gbk,Atu_Ach5.gbk
1_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
2_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,1
3_yjdC.fna,,,,,,,,,,,,,,1,0,1
4_ppsC.fna,,,,,,,,,,,,,,1,0,0
6_comR_2.fna,,,,,,,,,,,,,,1,0,0
7_nsrR_2.fna,,,,,,,,,,,,,,1,0,0
10_Carboxymuconolactone...fna,,,,,,,,,,,,,,1,0,0
11_acr1.fna,,,,,,,,,,,,,,1,0,0
12_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
13_Antitoxin_VapB32.fna,,,,,,,,,,,,,,1,0,0
14_Transglutaminase-lik...fna,,,,,,,,,,,,,,1,0,1
15_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
16_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
17_Fic-DOC_family_prote...fna,,,,,,,,,,,,,,1,0,0
18_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
19_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
20_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
21_kstR2_4.fna,,,,,,,,,,,,,,1,0,0
22_Cupin_domain_protein.fna,,,,,,,,,,,,,,1,0,0
23_oppF_8.fna,,,,,,,,,,,,,,1,0,0
24_oppD_10.fna,,,,,,,,,,,,,,1,0,0
25_gsiD_15.fna,,,,,,,,,,,,,,1,0,0
26_gsiC_17.fna,,,,,,,,,,,,,,1,0,0
27_appA_5.fna,,,,,,,,,,,,,,1,0,0
28_ydbM_4.fna,,,,,,,,,,,,,,1,0,0
29_nemA_4.fna,,,,,,,,,,,,,,1,0,0
30_ydaF_4.fna,,,,,,,,,,,,,,1,0,0
31_transcriptional_regu...fna,,,,,,,,,,,,,,1,0,0
32_Flavin_reductase_lik...fna,,,,,,,,,,,,,,1,0,0
33_acoC_2.fna,,,,,,,,,,,,,,1,0,0
34_axeA.fna,,,,,,,,,,,,,,1,0,0
35_echA8_3.fna,,,,,,,,,,,,,,1,0,0
36_npcC_3.fna,,,,,,,,,,,,,,1,0,0
37_tfdF_3.fna,,,,,,,,,,,,,,1,0,0
38_YciI-like_protein.fna,,,,,,,,,,,,,,1,0,0
39_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
40_mycothiol-dependent_...fna,,,,,,,,,,,,,,1,0,0
41_nagI.fna,,,,,,,,,,,,,,1,0,0
42_nagL.fna,,,,,,,,,,,,,,1,0,0
43_nagK_2.fna,,,,,,,,,,,,,,1,0,1
44_nlhH_2.fna,,,,,,,,,,,,,,1,0,0
45_czcO.fna,,,,,,,,,,,,,,1,0,0
46_yhjX_2.fna,,,,,,,,,,,,,,1,0,0
47_kdgR_1.fna,,,,,,,,,,,,,,1,0,0
48_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
49_hipA_3.fna,,,,,,,,,,,,,,1,0,0
50_Transposase_IS116-IS...fna,,,,,,,,,,,,,,1,0,0
51_Oxidoreductase_famil...fna,,,,,,,,,,,,,,1,0,0
53_ugpC_18.fna,,,,,,,,,,,,,,1,0,0
54_ugpA_7.fna,,,,,,,,,,,,,,1,0,0
55_ycjP_8.fna,,,,,,,,,,,,,,1,0,0
56_araN_2.fna,,,,,,,,,,,,,,1,0,0
57_afr_6.fna,,,,,,,,,,,,,,1,0,0
58_fabG_16.fna,,,,,,,,,,,,,,1,0,0
60_yhdN_5.fna,,,,,,,,,,,,,,1,0,0
61_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
62_LysE_type_translocat...fna,,,,,,,,,,,,,,1,0,1
63_rbsK_4.fna,,,,,,,,,,,,,,1,0,0
65_FG-GAP_repeat_protei...fna,,,,,,,,,,,,,,1,0,0
66_aroE_3.fna,,,,,,,,,,,,,,1,0,0
68_Xylose_isomerase-lik...fna,,,,,,,,,,,,,,1,0,0
70_ssuC_8.fna,,,,,,,,,,,,,,1,0,1
71_Putative_thiamine_bi...fna,,,,,,,,,,,,,,1,0,0
73_Xylose_isomerase-lik...fna,,,,,,,,,,,,,,1,0,0
74_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
75_Antibiotic_biosynthe...fna,,,,,,,,,,,,,,1,0,0
76_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
77_Xylose_isomerase-lik...fna,,,,,,,,,,,,,,1,0,1
78_yvaA.fna,,,,,,,,,,,,,,1,0,0
79_Xylose_isomerase-lik...fna,,,,,,,,,,,,,,1,0,0
80_mglA_6.fna,,,,,,,,,,,,,,1,0,0
81_lsrD_4.fna,,,,,,,,,,,,,,1,0,0
82_D-allose_transporter...fna,,,,,,,,,,,,,,1,0,0
83_DNA-binding_transcri...fna,,,,,,,,,,,,,,1,0,1
84_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
85_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
86_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
95_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
96_Transposase_DDE_doma...fna,,,,,,,,,,,,,,1,0,0
97_dmlR_28.fna,,,,,,,,,,,,,,1,0,0
98_hypothetical_protein.fna,,,,,,,,,,,,,,1,0,0
99_Glyoxalase-like_doma...fna,,,,,,,,,,,,,,1,0,0
