## blobtools v0.9.19.3
## assembly	: /nfs1/BPP/Chang_Lab/SCRI/sequenced_03_11_2019/bbduk/fna/CFW-C58-A8.fna
## coverage	: spades - /nfs1/BPP/Chang_Lab/SCRI/sequenced_03_11_2019/bbduk/fna/CFW-C58-A8.fna
## taxonomy	: tax0 - /nfs1/BPP/Chang_Lab/SCRI/sequenced_03_11_2019/bbduk/fna/blobplot/CFW-C58-A8.vs.nt.cul5.1e25.megablast.out
## nodesDB	: None
## taxrule	: bestsum
##
# name	length	GC	N	spades	genus.t.6	genus.s.7	genus.c.8
NODE_1_length_834073_cov_48.955972	834073	0.5942	290	48.956	Agrobacterium	5230706.673	57
NODE_2_length_723100_cov_45.211810	723100	0.595	391	45.212	Agrobacterium	4781245.8	76
NODE_3_length_590037_cov_78.337149	590037	0.5911	197	78.337	Agrobacterium	3586152.087	49
NODE_4_length_497280_cov_44.753663	497280	0.5732	0	44.754	Agrobacterium	1377369.529	66
NODE_5_length_452482_cov_46.574577	452482	0.5933	197	46.575	Agrobacterium	3137405.502	45
NODE_6_length_452243_cov_85.958721	452243	0.5933	98	85.959	Agrobacterium	3049397.439	52
NODE_7_length_439666_cov_47.224366	439666	0.596	0	47.224	Agrobacterium	2668077.902	51
NODE_8_length_438275_cov_79.185380	438275	0.5995	0	79.185	Agrobacterium	3347627.237	54
NODE_9_length_378808_cov_54.003729	378808	0.5907	0	54.004	Agrobacterium	2062551.217	43
NODE_10_length_327439_cov_9.307280	327439	0.4679	0	9.307	Bacillus	918485.55	1
NODE_11_length_240901_cov_8.445341	240901	0.4637	0	8.445	Bacillus	2582881.645	1
NODE_12_length_223089_cov_8.909171	223089	0.46	0	8.909	Bacillus	1711693.589	1
NODE_13_length_219842_cov_7.564596	219842	0.4752	0	7.565	Bacillus	396793.157	1
NODE_14_length_214335_cov_38.683513	214335	0.5667	0	38.684	Agrobacterium	2192222.866	6
NODE_15_length_204465_cov_6.700405	204465	0.4689	0	6.7	Bacillus	2215.431	1
NODE_16_length_193704_cov_7.093179	193704	0.4537	0	7.093	Bacillus	1978184.766	3
NODE_17_length_182414_cov_8.766503	182414	0.4654	0	8.767	Bacillus	1640589.505	1
NODE_18_length_181882_cov_73.847202	181882	0.5981	0	73.847	Agrobacterium	1316218.277	20
NODE_19_length_164212_cov_90.707866	164212	0.5918	0	90.708	Agrobacterium	1092659.281	21
NODE_20_length_157588_cov_7.621751	157588	0.4583	0	7.622	Bacillus	987220.867	2
NODE_21_length_148799_cov_8.024277	148799	0.4794	0	8.024	Bacillus	1305768.51	1
NODE_22_length_148560_cov_7.926789	148560	0.4421	10	7.927	Bacillus	919121.196	1
NODE_23_length_132481_cov_6.425526	132481	0.4768	0	6.426	Bacillus	1564.699	1
NODE_24_length_113889_cov_7.460120	113889	0.4663	0	7.46	Bacillus	1831171.263	1
NODE_25_length_113361_cov_9.550087	113361	0.4524	0	9.55	Bacillus	1107973.078	1
NODE_26_length_111456_cov_6.751466	111456	0.4583	0	6.751	Bacillus	878291.245	1
NODE_27_length_108765_cov_5.656213	108765	0.4478	0	5.656	Bacillus	780162.419	1
NODE_28_length_107278_cov_10.664197	107278	0.4457	0	10.664	Bacillus	2670289.0	1
NODE_29_length_101418_cov_6.427176	101418	0.4791	0	6.427	Bacillus	100143.344	1
NODE_30_length_95672_cov_7.083057	95672	0.4229	0	7.083	Bacillus	168832.684	1
NODE_31_length_89903_cov_8.068505	89903	0.4517	0	8.069	Bacillus	1309142.0	3
NODE_32_length_87929_cov_6.483844	87929	0.4688	0	6.484	Bacillus	14.374	1
NODE_33_length_84301_cov_7.285587	84301	0.4727	0	7.286	Bacillus	1430729.068	1
NODE_34_length_80817_cov_90.344409	80817	0.5817	0	90.344	Agrobacterium	622132.492	24
NODE_35_length_72999_cov_13.994582	72999	0.3324	98	13.995	Bacillus	31280.0	2
NODE_36_length_68701_cov_73.358022	68701	0.6005	100	73.358	Agrobacterium	622244.0	17
NODE_37_length_64589_cov_6.904001	64589	0.4523	0	6.904	Bacillus	254533.767	1
NODE_38_length_60056_cov_12.531764	60056	0.4468	0	12.532	Bacillus	3791.863	1
NODE_39_length_59494_cov_10.210270	59494	0.464	0	10.21	Bacillus	1212258.0	1
NODE_40_length_55141_cov_10.966716	55141	0.4556	0	10.967	Bacillus	313430.019	2
NODE_41_length_51513_cov_6.889408	51513	0.43	0	6.889	Bacillus	1226246.0	1
NODE_42_length_50076_cov_7.753787	50076	0.4547	0	7.754	Bacillus	1101853.0	2
NODE_43_length_48409_cov_10.083275	48409	0.4444	0	10.083	Bacillus	828918.0	1
NODE_44_length_44210_cov_6.710344	44210	0.4094	0	6.71	Bacillus	963005.0	3
NODE_45_length_43525_cov_45.688205	43525	0.574	0	45.688	Agrobacterium	218228.0	13
NODE_46_length_42214_cov_6.311338	42214	0.4476	0	6.311	Bacillus	777039.0	0
NODE_47_length_40232_cov_10.202552	40232	0.48	0	10.203	Bacillus	688182.0	1
NODE_48_length_39061_cov_7.876829	39061	0.4749	0	7.877	Bacillus	639333.0	1
NODE_49_length_39055_cov_5.745533	39055	0.4338	0	5.746	Bacillus	666072.0	1
NODE_50_length_39039_cov_99.477504	39039	0.5821	98	99.478	Agrobacterium	463415.0	11
NODE_51_length_38953_cov_6.687574	38953	0.452	0	6.688	Bacillus	635961.0	1
NODE_52_length_38166_cov_5.768277	38166	0.3573	0	5.768	Bacillus	610645.0	3
NODE_53_length_33142_cov_113.112974	33142	0.5627	0	113.113	Agrobacterium	156483.0	13
NODE_54_length_32528_cov_9.972124	32528	0.4509	0	9.972	Bacillus	622689.0	1
NODE_55_length_30724_cov_6.405159	30724	0.4721	0	6.405	Bacillus	494853.0	1
NODE_56_length_29817_cov_6.354768	29817	0.3654	0	6.355	Bacillus	482550.0	2
NODE_57_length_27641_cov_5.980139	27641	0.4104	0	5.98	Bacillus	485422.0	1
NODE_58_length_26439_cov_8.329992	26439	0.478	0	8.33	Bacillus	422227.0	1
NODE_59_length_25035_cov_6.536654	25035	0.4698	0	6.537	Bacillus	410099.0	1
NODE_60_length_23000_cov_7.086503	23000	0.5003	0	7.087	Bacillus	370721.0	1
NODE_61_length_21725_cov_5.998567	21725	0.4178	0	5.999	Bacillus	295486.0	1
NODE_62_length_20596_cov_5.780846	20596	0.3582	0	5.781	Bacillus	298589.0	4
NODE_63_length_18800_cov_8.009572	18800	0.4757	0	8.01	Bacillus	302408.0	1
NODE_64_length_15439_cov_6.944263	15439	0.356	0	6.944	Bacillus	152309.0	0
NODE_65_length_14270_cov_6.320090	14270	0.4465	0	6.32	Bacillus	257847.0	1
NODE_66_length_13502_cov_7.053421	13502	0.4945	0	7.053	Bacillus	218957.0	1
NODE_68_length_12501_cov_10.164570	12501	0.3596	0	10.165	Bacillus	59964.0	1
NODE_69_length_11800_cov_5.389112	11800	0.454	0	5.389	Bacillus	300597.0	1
NODE_70_length_9666_cov_6.913452	9666	0.494	0	6.913	Bacillus	157237.0	1
NODE_71_length_9490_cov_10.123523	9490	0.5178	0	10.124	Bacillus	154282.0	1
NODE_72_length_9341_cov_6.731335	9341	0.4557	0	6.731	Bacillus	153341.0	1
